"id";"procedure_id";"person_id";"licence_id";"usraxis_id";"fproc";"numproc"
1;3;23;2;10;"2023-01-03";66565819
2;3;24;2;10;"2023-01-03";66569573
3;3;25;3;10;"2023-01-03";66566690
4;3;26;2;10;"2023-01-03";66566002
5;3;27;2;10;"2023-01-03";66574669
6;3;28;2;10;"2023-01-03";66566990
7;3;29;2;10;"2023-01-03";66566199
8;3;30;2;10;"2023-01-03";66566431
9;1;31;5;16;"2023-01-03";32626312
10;1;32;2;16;"2023-01-03";64141299
11;1;33;2;16;"2023-01-03";65054841
12;1;34;3;16;"2023-01-03";65190946
13;1;35;2;16;"2023-01-03";65485793
14;1;36;2;16;"2023-01-03";65792837
15;1;37;2;16;"2023-01-03";65841618
16;1;38;2;16;"2023-01-03";65899212
17;1;39;2;16;"2023-01-03";66121990
18;1;40;2;16;"2023-01-03";66232778
19;1;41;2;8;"2023-01-03";59119966
20;1;42;1;8;"2023-01-03";63377004
21;1;43;1;8;"2023-01-03";64129052
22;1;44;3;8;"2023-01-03";64547801
23;1;45;2;8;"2023-01-03";64580004
24;1;46;3;8;"2023-01-03";64758624
25;1;47;2;8;"2023-01-03";64780150
26;1;48;2;8;"2023-01-03";64783627
27;1;49;3;8;"2023-01-03";64830161
28;1;50;2;8;"2023-01-03";65921058
29;1;51;2;8;"2023-01-03";66123262
30;1;52;2;8;"2023-01-03";66189583
31;1;53;2;3;"2023-01-03";64782886
32;1;54;1;3;"2023-01-03";64842127
33;1;55;3;3;"2023-01-03";64853880
34;1;56;2;3;"2023-01-03";65527052
35;1;57;2;3;"2023-01-03";65733220
36;1;58;2;3;"2023-01-03";65847350
37;1;59;1;3;"2023-01-03";65863923
38;1;60;2;3;"2023-01-03";65904224
39;1;61;5;3;"2023-01-03";65914195
40;1;62;1;3;"2023-01-03";66155908
41;1;63;2;3;"2023-01-03";66240395
42;1;64;2;3;"2023-01-03";66562818
43;1;65;2;1;"2023-01-03";37050195
44;1;66;2;1;"2023-01-03";62233807
45;1;67;2;1;"2023-01-03";64416859
46;1;68;3;1;"2023-01-03";64733234
47;1;69;1;1;"2023-01-03";64748445
48;1;70;2;1;"2023-01-03";64749127
49;1;71;3;1;"2023-01-03";64781948
50;1;72;3;1;"2023-01-03";64812374
51;1;73;1;1;"2023-01-03";64857317
52;1;74;2;1;"2023-01-03";65173167
53;1;75;2;1;"2023-01-03";65288283
54;1;76;2;1;"2023-01-03";65444647
55;1;77;2;1;"2023-01-03";65445880
56;1;78;2;1;"2023-01-03";65792402
57;1;79;5;1;"2023-01-03";65857733
58;1;80;1;1;"2023-01-03";65916780
59;1;81;2;1;"2023-01-03";65921356
60;1;82;1;1;"2023-01-03";65926536
61;1;83;3;1;"2023-01-03";65929009
62;1;84;2;1;"2023-01-03";66121705
63;1;85;2;1;"2023-01-03";66156336
64;1;86;2;1;"2023-01-03";66232356
65;1;87;1;1;"2023-01-03";66259019
66;1;88;2;1;"2023-01-03";66262070
67;1;89;5;2;"2023-01-03";62508164
68;1;90;2;2;"2023-01-03";64339697
69;1;91;5;2;"2023-01-03";64477876
70;1;92;2;2;"2023-01-03";64699929
71;1;93;2;2;"2023-01-03";64830451
72;1;94;3;2;"2023-01-03";64838896
73;1;95;1;2;"2023-01-03";64856043
74;1;96;1;2;"2023-01-03";65409510
75;1;97;2;2;"2023-01-03";65448004
76;1;98;2;2;"2023-01-03";65448314
77;1;99;2;2;"2023-01-03";65698089
78;1;100;5;2;"2023-01-03";65755825
79;1;101;2;2;"2023-01-03";65837965
80;1;102;3;2;"2023-01-03";65862346
81;1;103;2;2;"2023-01-03";65867286
82;1;104;2;2;"2023-01-03";65926424
83;1;105;2;2;"2023-01-03";65927524
